"","x"
"400",3.941623
"401",3.839977
"402",4.09974
"403",3.839977
"404",3.986799
"405",3.930329
"406",3.885153
"407",4.020681
"408",3.919035
"409",3.941623
"410",3.964211
"411",3.873859
"412",3.930329
"413",3.941623
"414",3.930329
"415",3.986799
"416",3.919035
"417",3.998093
"418",3.930329
"419",3.806095
"420",3.941623
"421",3.975505
"422",3.998093
"423",3.806095
"424",4.04327
"425",3.851271
"426",3.930329
"427",3.907741
"428",3.952917
"429",3.998093
"430",3.885153
"431",3.941623
"432",3.919035
"433",3.964211
"434",3.896447
"435",3.975505
"436",3.873859
"437",3.919035
"438",3.896447
"439",4.088446
"440",3.919035
"441",3.998093
"442",3.975505
"443",3.975505
"444",4.065858
"445",3.851271
"446",4.020681
"447",4.020681
"448",3.930329
"449",3.952917
"450",3.998093
"451",3.952917
"452",4.031975
"453",3.952917
"454",4.020681
"455",3.907741
"456",3.919035
"457",4.09974
"458",3.907741
"459",4.031975
"460",3.907741
"461",4.144916
"462",4.065858
"463",3.907741
"464",3.975505
"465",4.031975
"466",4.077152
"467",4.111034
"468",3.975505
"469",3.975505
"470",3.964211
"471",3.907741
"472",4.144916
"473",4.009387
"474",4.009387
"475",3.952917
"476",3.964211
"477",4.04327
"478",3.873859
"479",3.998093
"480",3.975505
"481",4.04327
"482",4.020681
"483",4.065858
"484",3.907741
"485",3.952917
"486",4.009387
"487",3.998093
"488",4.009387
"489",3.907741
"490",4.04327
"491",3.941623
"492",3.941623
"493",3.885153
"494",4.088446
"495",3.952917
"496",3.851271
"497",3.986799
"498",3.873859
"499",4.020681
"500",3.896447
"501",3.998093
"502",4.009387
"503",3.851271
"504",3.930329
"505",4.111034
"506",3.930329
"507",3.919035
"508",3.862565
"509",4.065858
"510",3.964211
"511",3.885153
"512",3.986799
"513",3.885153
"514",3.998093
"515",3.930329
"516",4.054564
"517",3.930329
"518",3.7948
"519",3.919035
"520",3.907741
"521",4.020681
"522",3.851271
"523",3.998093
"524",3.952917
"525",3.930329
"526",3.896447
"527",4.111034
"528",4.009387
"529",3.817389
"530",4.031975
"531",3.930329
"532",3.964211
"533",3.873859
"534",3.964211
"535",3.975505
"536",3.873859
"537",3.975505
"538",3.919035
"539",3.964211
"540",3.873859
"541",3.975505
"542",3.919035
"543",3.930329
"544",3.919035
"545",3.952917
"546",3.907741
"547",3.998093
"548",3.919035
"549",3.941623
"550",3.930329
"551",3.839977
"552",4.065858
"553",3.873859
"554",3.964211
"555",3.885153
"556",3.975505
"557",3.941623
"558",3.851271
"559",3.930329
"560",3.930329
"561",3.919035
"562",3.907741
"563",3.952917
"564",3.873859
"565",3.885153
"566",3.851271
"567",3.964211
"568",3.839977
"569",3.828683
"570",4.020681
"571",3.964211
"572",3.930329
"573",3.806095
"574",3.998093
"575",3.806095
"576",3.885153
"577",3.975505
"578",3.873859
"579",3.806095
"580",3.828683
"581",3.941623
"582",3.885153
"583",3.964211
"584",3.885153
"585",3.930329
"586",3.930329
"587",3.7948
"588",3.930329
"589",3.873859
"590",3.941623
"591",3.7948
"592",3.975505
"593",3.839977
"594",3.828683
"595",3.986799
"596",3.862565
"597",3.873859
"598",3.783506
"599",3.975505
"600",3.885153
"601",3.873859
"602",3.986799
"603",3.828683
"604",3.851271
"605",3.851271
"606",3.896447
"607",3.885153
"608",3.862565
"609",3.885153
"610",4.031975
"611",3.7948
"612",3.862565
"613",4.065858
"614",3.873859
"615",3.919035
"616",3.862565
"617",4.020681
"618",3.817389
"619",3.885153
"620",4.04327
"621",3.873859
"622",3.806095
"623",3.907741
"624",3.907741
"625",3.919035
"626",3.885153
"627",3.896447
"628",3.975505
"629",3.851271
"630",3.907741
"631",3.975505
"632",3.873859
"633",3.975505
"634",3.806095
"635",3.998093
"636",3.873859
"637",3.727036
"638",3.941623
"639",3.806095
"640",3.919035
"641",3.760918
"642",3.749624
"643",3.839977
"644",3.68186
"645",3.749624
"646",3.73833
"647",3.839977
"648",3.772212
"649",3.704448
"650",3.828683
"651",3.7948
"652",3.670566
"653",3.749624
"654",3.783506
"655",3.727036
"656",3.851271
"657",3.73833
"658",3.7948
"659",3.704448
"660",3.839977
"661",3.7948
"662",3.68186
"663",3.817389
"664",3.907741
"665",3.749624
"666",3.749624
"667",3.806095
"668",3.7948
"669",3.783506
"670",3.806095
"671",3.919035
"672",3.749624
"673",3.851271
"674",3.839977
"675",3.873859
"676",3.73833
"677",3.704448
"678",3.885153
"679",3.7948
"680",3.749624
"681",3.896447
"682",3.828683
"683",3.862565
"684",3.862565
"685",3.964211
"686",3.828683
"687",3.73833
"688",3.896447
"689",3.896447
"690",3.783506
"691",3.851271
"692",3.851271
"693",3.885153
"694",3.941623
"695",3.907741
"696",3.828683
"697",3.941623
"698",3.862565
"699",3.907741
"700",3.873859
"701",3.73833
"702",3.964211
"703",3.817389
"704",3.839977
"705",3.885153
"706",3.919035
"707",4.031975
"708",3.783506
"709",3.919035
"710",3.975505
"711",3.817389
"712",3.828683
"713",3.873859
"714",3.873859
"715",3.828683
"716",3.896447
"717",3.919035
"718",3.839977
"719",3.885153
"720",3.839977
"721",3.817389
"722",3.998093
"723",3.749624
"724",3.941623
"725",3.828683
"726",3.760918
"727",3.896447
"728",3.952917
"729",3.885153
"730",3.772212
"731",3.896447
"732",3.839977
"733",3.806095
"734",3.715742
"735",4.020681
"736",3.760918
"737",3.839977
"738",3.873859
"739",3.7948
"740",3.907741
"741",3.727036
"742",3.873859
"743",3.885153
"744",3.783506
"745",3.806095
"746",3.862565
"747",3.828683
"748",3.7948
"749",3.806095
"750",3.919035
"751",3.806095
"752",3.760918
"753",3.817389
"754",3.828683
"755",3.851271
"756",3.693154
"757",3.998093
"758",3.772212
"759",3.806095
"760",3.817389
"761",3.873859
"762",3.930329
"763",3.783506
"764",3.941623
"765",3.772212
"766",3.873859
"767",3.873859
"768",3.806095
"769",3.885153
"770",3.817389
"771",3.828683
"772",3.896447
"773",3.907741
"774",3.760918
"775",3.896447
"776",3.806095
"777",3.783506
"778",3.806095
"779",3.919035
"780",3.941623
"781",3.783506
"782",3.896447
"783",3.896447
"784",3.851271
"785",3.7948
"786",3.873859
"787",3.896447
"788",3.783506
"789",3.851271
"790",3.907741
"791",3.885153
"792",3.7948
"793",3.930329
"794",3.851271
"795",3.919035
"796",3.772212
"797",3.873859
"798",3.964211
"799",3.783506
"800",3.873859
"801",3.919035
"802",3.941623
"803",3.817389
